Frequency,File Size,Record Size,Num Threads,Iterations
3000000,4,32,8,200
3000000,169,32,8,200
3000000,335,32,8,200
3000000,500,32,8,200
3000000,666,32,8,200
3000000,831,32,8,200
3000000,997,32,8,200
3000000,1162,32,8,200
3000000,1328,32,8,200
3000000,1493,32,8,200
3000000,1659,32,8,200
3000000,1824,32,8,200
3000000,1989,32,8,200
3000000,2155,32,8,200
3000000,2320,32,8,200
3000000,2486,32,8,200
3000000,2651,32,8,200
3000000,2817,32,8,200
3000000,2982,32,8,200
3000000,3148,32,8,200
3000000,3313,32,8,200
3000000,3479,32,8,200
3000000,3644,32,8,200
3000000,3809,32,8,200
3000000,3975,32,8,200
3000000,4140,32,8,200
3000000,4306,32,8,200
3000000,4471,32,8,200
3000000,4637,32,8,200
3000000,4802,32,8,200
3000000,4968,32,8,200
3000000,5133,32,8,200
3000000,5299,32,8,200
3000000,5464,32,8,200
3000000,5629,32,8,200
3000000,5795,32,8,200
3000000,5960,32,8,200
3000000,6126,32,8,200
3000000,6291,32,8,200
3000000,6457,32,8,200
3000000,6622,32,8,200
3000000,6788,32,8,200
3000000,6953,32,8,200
3000000,7119,32,8,200
3000000,7284,32,8,200
3000000,7449,32,8,200
3000000,7615,32,8,200
3000000,7780,32,8,200
3000000,7946,32,8,200
3000000,8111,32,8,200
3000000,8277,32,8,200
3000000,8442,32,8,200
3000000,8608,32,8,200
3000000,8773,32,8,200
3000000,8939,32,8,200
3000000,9104,32,8,200
3000000,9269,32,8,200
3000000,9435,32,8,200
3000000,9600,32,8,200
3000000,9766,32,8,200
3000000,9931,32,8,200
3000000,10097,32,8,200
3000000,10262,32,8,200
3000000,10428,32,8,200
3000000,10593,32,8,200
3000000,10759,32,8,200
3000000,10924,32,8,200
3000000,11089,32,8,200
3000000,11255,32,8,200
3000000,11420,32,8,200
3000000,11586,32,8,200
3000000,11751,32,8,200
3000000,11917,32,8,200
3000000,12082,32,8,200
3000000,12248,32,8,200
3000000,12413,32,8,200
3000000,12579,32,8,200
3000000,12744,32,8,200
3000000,12909,32,8,200
3000000,13075,32,8,200
3000000,13240,32,8,200
3000000,13406,32,8,200
3000000,13571,32,8,200
3000000,13737,32,8,200
3000000,13902,32,8,200
3000000,14068,32,8,200
3000000,14233,32,8,200
3000000,14399,32,8,200
3000000,14564,32,8,200
3000000,14729,32,8,200
3000000,14895,32,8,200
3000000,15060,32,8,200
3000000,15226,32,8,200
3000000,15391,32,8,200
3000000,15557,32,8,200
3000000,15722,32,8,200
3000000,15888,32,8,200
3000000,16053,32,8,200
3000000,16219,32,8,200
3000000,16384,32,8,200
