Frequency,File Size,Record Size,Num Threads,Test,Throughput 1,Throughput 2,Throughput 3,Throughput 4,Throughput 5,Throughput 6,Throughput 7,Throughput 8,Throughput 9,Throughput 10,Throughput 11,Throughput 12,Throughput 13,Throughput 14,Throughput 15,Throughput 16,Throughput 17,Throughput 18,Throughput 19,Throughput 20,Throughput 21,Throughput 22,Throughput 23,Throughput 24,Throughput 25,Throughput 26,Throughput 27,Throughput 28,Throughput 29,Throughput 30,Throughput 31,Throughput 32,Throughput 33,Throughput 34,Throughput 35,Throughput 36,Throughput 37,Throughput 38,Throughput 39,Throughput 40,Throughput 41,Throughput 42,Throughput 43,Throughput 44,Throughput 45,Throughput 46,Throughput 47,Throughput 48,Throughput 49,Throughput 50,Throughput 51,Throughput 52,Throughput 53,Throughput 54,Throughput 55,Throughput 56,Throughput 57,Throughput 58,Throughput 59,Throughput 60,Throughput 61,Throughput 62,Throughput 63,Throughput 64,Throughput 65,Throughput 66,Throughput 67,Throughput 68,Throughput 69,Throughput 70,Throughput 71,Throughput 72,Throughput 73,Throughput 74,Throughput 75,Throughput 76,Throughput 77,Throughput 78,Throughput 79,Throughput 80,Throughput 81,Throughput 82,Throughput 83,Throughput 84,Throughput 85,Throughput 86,Throughput 87,Throughput 88,Throughput 89,Throughput 90,Throughput 91,Throughput 92,Throughput 93,Throughput 94,Throughput 95,Throughput 96,Throughput 97,Throughput 98,Throughput 99,Throughput 100,Throughput 101,Throughput 102,Throughput 103,Throughput 104,Throughput 105,Throughput 106,Throughput 107,Throughput 108,Throughput 109,Throughput 110,Throughput 111,Throughput 112,Throughput 113,Throughput 114,Throughput 115,Throughput 116,Throughput 117,Throughput 118,Throughput 119,Throughput 120,Throughput 121,Throughput 122,Throughput 123,Throughput 124,Throughput 125,Throughput 126,Throughput 127,Throughput 128,Throughput 129,Throughput 130,Throughput 131,Throughput 132,Throughput 133,Throughput 134,Throughput 135,Throughput 136,Throughput 137,Throughput 138,Throughput 139,Throughput 140,Throughput 141,Throughput 142,Throughput 143,Throughput 144,Throughput 145,Throughput 146,Throughput 147,Throughput 148,Throughput 149,Throughput 150
1200000,4,4,1,initial_writers,114281.78,387510.59,111250.55,503415.47,314273.52,281684.12,232118.9,99980.02,125384.91,107680.38,129248.69,173308.16,99980.02,120868.35,294544.7,206277.05,133358.16,108375.96,316090.64,257214.23,84816.65,247130.36,137737.53,201860.8,92791.41,288724.35,124454.8,243053.98,133358.16,266025.49,88859.7,305353.86,160079.23,107680.38,137737.53,120868.35,142414.3,314432.5,108375.96,107680.38,247501.76,137737.53,133358.16,243530.47,97652.27,117482.82,99980.02,72689.78,129248.69,413087.39,102421.45,99980.02,125384.91,154194.28,75639.25,114281.78,177617.77,361367.59,125384.91,363879.55,99980.02,247559.98,240158.98,163100.98,137737.53,212665.47,99980.02,99980.02,137737.53,255103.6,224434.82,376657.03,341327.81,108375.96,99980.02,180777.88,103050.55,176410.39,77028.36,117482.82,125384.91,128260.59,133358.16,288176.68,143633.55,147419.83,225532.33,114281.78,216751.92,143633.55,107680.38,114281.78,237717.55,232118.9,111250.55,337003.69,476500.75,118311.3,102421.45,348534.94,133358.16,137737.53,133358.16,114281.78,108375.96,285157.36,228520.53,406646.05,205626.2,138877.69,125384.91,250117.04,245323.16,231764.6,224635.07,137737.53,242766.1,212528.45,120868.35,166431.23,138877.69,142414.3,185673.7,99980.02,277562.05,108375.96,325576.76,166431.23,125384.91,117482.82,129248.69,194511.18,132306.48,218198.07,111250.55,246378.95,428746.42,251777.22,142414.3,207406.54,224277.25,182167.17,246731.51,76676.32,86567.2,120868.35,369934.98,166431.23,243613.56,236947.27
1200000,4,4,1,random_readers,8402.03,8129.26,190763.02,7767.93,5813.7,8249.17,114281.78,103050.55,7407.79,129248.69,8313.86,7734.22,6724.86,118311.3,8265.43,7921.98,5664.52,105646.19,99980.02,8281.75,427005.21,102421.45,5988.0,319303.53,10126.24,488479.17,107680.38,120868.35,114281.78,102421.45,7547.77,9593.53,359715.29,301057.23,114281.78,7967.12,8051.24,16337.92,20259.75,108375.96,97652.27,8812.46,121745.45,20638.68,319865.27,13689.0,8440.07,166981.68,9922.62,7888.46,8461.22,292452.32,222040.1,8402.03,108375.96,7982.29,5704.97,13747.05,9665.38,402791.58,10231.22,318500.64,190959.75,8729.92,8001.32,5977.33,7619.75,365930.57,8180.79,110517.7,129248.69,386118.57,15908.07,10357.55,9605.37,10500.16,117482.82,8031.97,10077.58,8245.12,10200.12,549043.38,204842.89,110517.7,7844.2,298579.55,10312.98,7017.39,10029.39,9250.0,6070.33,214022.15,19728.58,111250.55,216896.73,361660.52,7619.75,6559.22,4453.96,2103.25,318467.63,8164.87,10126.24,5831.89,10338.4,9501.17,8180.79,7578.45,104985.09,9732.66,8440.07,225532.33,7052.79,224795.99,9710.13,6600.51,104985.09,206115.97,10231.22,175875.88,120868.35,121745.45,8948.78,111250.55,108375.96,399633.83,9050.15,4429.27,519239.98,280871.38,108375.96,225163.2,117482.82,450178.31,9075.88,114281.78,208355.98,9501.17,10150.75,9094.35,97652.27,8016.61,20332.57,7689.6,207660.39,7952.02,213361.05,17451.53,6350.66,9501.17
1200000,4,4,1,random_writers,102421.45,129248.69,225532.33,121745.45,129248.69,120868.35,392371.13,129248.69,114281.78,420767.59,91276.91,87016.19,83549.5,129248.69,114281.78,80235.82,111250.55,117482.82,368832.7,103050.55,102421.45,117482.82,223918.9,286367.66,117482.82,133358.16,143633.55,211934.05,262606.84,117482.82,90783.0,97087.17,160079.23,360934.92,137737.53,99980.02,105646.19,242542.38,111250.55,84816.65,221962.16,129248.69,121745.45,114281.78,125384.91,124454.8,271662.98,154194.28,124454.8,114281.78,102421.45,133358.16,102421.45,114281.78,124454.8,83549.5,209588.21,124454.8,108375.96,525259.7,114281.78,108375.96,103050.55,104985.09,111250.55,154108.7,83549.5,133358.16,85247.62,133358.16,160079.23,396714.7,91276.91,348532.54,105646.19,137737.53,107680.38,117482.82,90783.0,117482.82,63356.7,137737.53,105646.19,120868.35,117482.82,160079.23,142414.3,188435.27,68813.88,120868.35,108375.96,271874.63,108375.96,133358.16,137737.53,432315.08,85247.62,202072.27,104985.09,99980.02,97087.17,108375.96,142414.3,72689.78,117482.82,124454.8,234824.7,90783.0,137737.53,117482.82,120868.35,160079.23,95430.45,148726.67,181380.88,87016.19,249839.72,302920.95,117482.82,147419.83,142414.3,92791.41,92791.41,337583.26,125384.91,128260.59,104985.09,92791.41,117482.82,323843.78,133358.16,120868.35,152790.03,137737.53,97087.17,133358.16,247639.94,210274.23,125384.91,93307.48,138877.69,117482.82,104985.09,105646.19,120868.35,114281.78,137737.53,58907.59,103050.55,111250.55
1200000,4,4,1,re-readers,142414.3,267128.91,3693.14,4596.74,343336.27,125384.91,11141.69,710903.75,3787.35,8245.12,439493.47,4716.93,4061.49,4963.96,4641.25,306121.78,233647.44,114281.78,147419.83,9368.53,539769.22,275772.45,400487.06,4684.01,11268.91,17191.41,380383.2,10755.97,330223.12,5405.37,247430.78,11171.36,11208.68,6959.17,285299.19,8752.7,306121.78,267128.91,4739.59,6105.68,290234.66,6559.22,285299.19,6610.91,366269.22,8891.86,673682.41,210225.8,558172.05,267128.91,526348.45,311811.16,330223.12,4361.34,3834.96,306121.78,173308.16,262942.31,8622.25,648664.53,233647.44,160079.23,6812.24,197831.25,4102.2,2245.7,7257.19,8640.01,5262.94,251134.52,6815.0,8368.5,5291.15,9474.34,3154.32,5442.19,233647.44,8680.24,222657.74,534257.81,233647.44,233647.44,6907.6,5797.63,7352.6,10553.0,285299.19,9030.66,7014.28,2405.06,7298.23,514465.36,175117.11,445378.42,581357.64,285299.19,527181.92,285299.19,306121.78,7285.55,5236.65,243530.47,286464.2,6873.64,267128.91,258605.88,8849.65,327502.44,9030.66,4418.77,12549.32,175117.11,2984.84,6884.92,396665.88,4166.38,3025.75,173308.16,247430.78,10931.17,285299.19,4767.87,6513.39,8924.97,336853.38,8418.89,336853.38,290234.66,7207.31,6801.19,8831.02,569064.09,5202.55,439493.47,6779.21,7661.51,7242.97,8600.15,306121.78,7314.14,6431.0,423036.72,7420.9,330223.12,3902.76,290234.66,8698.24,12836.01,330223.12,306121.78
1200000,4,4,1,readers,129248.69,129248.69,8008.03,7222.82,154194.28,314136.03,16664.01,287299.59,6933.29,8734.47,271095.69,10579.62,5355.33,7767.93,10389.62,271095.69,324430.23,137737.53,291816.15,9732.66,315157.91,125384.91,481992.47,2195.45,15643.43,10694.26,125384.91,7814.97,231010.43,5988.0,152790.03,10023.4,24749.79,8277.27,129248.69,8331.1,292360.22,425718.38,9173.87,3215.38,147419.83,8530.18,450818.12,3347.54,147419.83,10473.94,246731.51,160079.23,336340.33,154194.28,335196.34,128260.59,137737.53,8698.24,10256.24,166431.23,401646.34,550324.51,5617.11,142414.3,231031.1,142414.3,7619.75,280947.59,8298.13,7811.33,10447.85,10667.06,8368.5,499585.76,7932.9,8314.58,4716.93,7207.31,9280.43,5115.31,434972.27,7825.9,160079.23,228240.61,343825.39,354070.08,4149.89,8385.23,6503.29,3546.38,166431.23,6930.43,7952.02,7796.81,17369.48,160079.23,393761.78,264902.65,137737.53,121745.45,466134.71,142414.3,148726.67,10553.0,5442.19,390756.52,337929.38,6389.36,110517.7,173308.16,5907.87,289327.92,6269.97,3683.41,3294.94,394626.83,5369.04,7665.01,114281.78,5235.02,8196.78,129248.69,166431.23,16990.75,129248.69,7767.93,8232.98,6779.21,280151.83,20779.24,275475.06,233760.88,10023.4,8600.15,14279.19,137737.53,3257.2,426891.1,5465.24,14967.89,7179.55,8418.89,180777.88,8891.86,2919.4,128260.59,16171.78,266209.49,7588.73,125384.91,9301.01,8381.84,160079.23,154194.28
1200000,4,4,1,rewriters,4696.1,2514.27,97652.27,311913.25,107680.38,2642.16,5602.1,124454.8,3181.84,4952.64,104985.09,110517.7,232628.23,2411.28,8019.83,200415.54,2590.75,2472.03,219626.51,108375.96,7939.8,4907.33,4634.84,6786.54,5269.55,4458.7,88859.7,2510.88,5805.66,233167.98,265725.42,5935.04,3246.49,104985.09,138877.69,7661.52,5121.55,3666.51,129248.69,121745.45,2388.28,4907.03,6921.85,148726.67,5025.57,121745.45,14396.01,9265.95,3805.39,7268.06,460942.8,152790.03,133358.16,2574.06,129248.69,133358.16,6960.48,4553.61,142414.3,8637.8,133358.16,9045.26,121745.45,3626.09,128260.59,203141.48,235150.13,114281.78,4941.17,7749.99,269595.02,3610.48,2695.65,114281.78,3902.51,4803.42,166431.23,108375.96,5438.69,2192.87,2541.31,3530.7,7210.07,2773.64,7843.95,83549.5,2789.32,6792.93,148726.67,6901.77,7027.03,250790.26,5033.32,128260.59,138877.69,2641.75,386725.61,369305.43,124454.8,160079.23,3669.71,5346.38,6637.7,3410.14,4725.61,114281.78,137737.53,133358.16,4796.5,4743.83,5552.84,381067.27,3325.13,291434.59,4871.79,133358.16,5259.53,4257.48,110517.7,5053.22,306259.66,4333.18,2332.18,97652.27,124454.8,143633.55,197067.19,120868.35,111250.55,125384.91,9654.88,2196.6,90783.0,1817.33,142414.3,137737.53,77028.36,128260.59,4662.18,5220.89,280777.98,120868.35,133358.16,2480.07,2375.1,114281.78,90783.0,129248.69,7683.48,4966.71
1200000,4,4,8,initial_writers,228788.6,213659.77,125384.91,114281.78,111250.55,97652.27,111250.55,225853.45,230528.95,87016.19,148726.67,319007.24,125384.91,125384.91,120868.35,192542.98,88859.7,195952.27,142414.3,108375.96,240158.98,154194.28,114281.78,318618.55,182747.02,577983.73,133358.16,108375.96,219904.27,133358.16,92791.41,117482.82,118311.3,147419.83,245323.16,215360.75,105646.19,99980.02,97652.27,318839.8,257812.96,248988.08,90783.0,104985.09,238351.17,428926.22,355475.33,120868.35,133358.16,129248.69,319732.06,263946.71,124454.8,280767.78,226876.25,118311.3,105646.19,120868.35,99980.02,10126.24,238857.7,111250.55,246378.95,157376.82,90783.0,118311.3,138877.69,99980.02,111250.55,268126.38,295886.3,79965.49,107680.38,214307.05,118311.3,235742.86,216703.23,78469.45,148726.67,68813.88,133358.16,237743.78,720549.27,356780.7,94890.7,111250.55,114281.78,95430.45,114281.78,102421.45,221318.67,97087.17,125384.91,184584.39,137737.53,335514.04,105646.19,192001.28,124454.8,110517.7,228733.37,121745.45,142414.3,193082.72,120868.35,99980.02,154194.28,67977.43,234972.5,212913.27,269763.2,107680.38,163717.07,97652.27,316315.33,147419.83,97652.27,121745.45,79965.49,252931.99,207170.99,133358.16,137737.53,94890.7,117482.82,117482.82,297028.8,78469.45,102421.45,104985.09,189895.65,133358.16,111250.55,178060.7,133358.16,239344.31,121745.45,108375.96,182747.02,194800.05,114281.78,147419.83,102421.45,222427.19,104985.09,117482.82,235705.35,125384.91,102421.45,87016.19
1200000,4,4,8,random_readers,208696.73,203127.95,111250.55,247639.94,114281.78,9800.89,9458.32,5200.94,6896.24,120868.35,225532.33,114281.78,97652.27,8212.83,105676.12,7232.16,209970.19,8789.38,99980.02,10306.65,105646.19,97652.27,9199.02,543873.56,10338.4,87016.19,177799.19,117482.82,194174.34,125384.91,151000.12,99980.02,114281.78,189878.59,9755.3,7447.25,212373.52,193287.49,193082.72,15550.27,4749.7,99980.02,367001.62,214022.15,8196.78,212373.52,265639.2,6232.7,10256.24,248909.61,3062.76,207406.54,8716.32,6815.0,8368.5,7561.37,149271.52,238351.17,5797.63,4094.2,222501.09,10338.4,108375.96,9755.3,9437.04,4942.61,8457.09,7825.9,6493.22,6944.77,206680.99,9571.63,8164.87,8347.68,10077.58,9588.04,261656.3,99980.02,104985.09,8031.97,16239.01,6269.97,117482.82,5481.17,16428.12,6610.91,8478.46,99980.02,5018.9,4415.28,452456.01,304945.12,107680.38,9234.46,271328.62,10101.85,4201.86,10306.65,8491.33,95430.45,97652.27,10150.75,117482.82,7707.26,7040.95,7605.94,377016.83,225532.33,8298.13,3445.86,16377.57,9452.99,8793.99,9214.17,99980.02,8097.87,8547.57,6732.96,108375.96,16613.62,199875.8,416398.97,326947.25,9783.74,184090.48,195768.09,6033.22,124454.8,5362.18,456261.97,9549.84,301963.9,88859.7,7285.55,17523.69,8113.54,6991.07,204965.11,133358.16,17192.76,99980.02,99980.02,114281.78,239004.34,204965.11,5127.82,120868.35,7647.54,5256.34,7235.28
1200000,4,4,8,random_writers,271095.69,137737.53,312874.97,108375.96,154194.28,133358.16,114281.78,124454.8,104985.09,254226.51,133358.16,118311.3,280151.83,94890.7,148726.67,99980.02,93307.48,105646.19,138877.69,104985.09,276668.52,154194.28,114281.78,336106.16,88859.7,238524.25,114281.78,137737.53,127217.81,129248.69,5102.86,143633.55,280151.83,114281.78,99980.02,105646.19,124454.8,274361.02,125384.91,78469.45,104985.09,326510.47,129248.69,152790.03,104985.09,88859.7,148726.67,95430.45,129248.69,114281.78,75299.77,111250.55,77028.36,221962.16,77028.36,117482.82,121745.45,129248.69,105646.19,252268.18,446256.78,78469.45,236929.06,197312.15,69097.29,329311.39,124454.8,78469.45,148598.7,79965.49,110517.7,124454.8,129248.69,83549.5,133358.16,104985.09,111250.55,231670.13,114281.78,114281.78,87016.19,77028.36,133358.16,224799.48,114281.78,57103.1,117482.82,250862.23,108375.96,92791.41,118311.3,121745.45,118311.3,114281.78,129248.69,89332.84,88859.7,133358.16,99980.02,129248.69,94890.7,117482.82,143633.55,241285.82,59746.71,283914.05,117482.82,154194.28,90783.0,114281.78,74299.35,111250.55,94890.7,78469.45,179642.7,95430.45,158196.01,65585.78,121745.45,121745.45,188435.27,147419.83,117482.82,117482.82,154194.28,160079.23,90783.0,97652.27,102421.45,143633.55,66211.81,124454.8,114281.78,102421.45,88859.7,111250.55,83135.49,128260.59,137737.53,114281.78,147419.83,129248.69,120868.35,577185.78,247639.94,114281.78,120868.35,85247.62,102421.45,118311.3
1200000,4,4,8,re-readers,4701.6,4773.3,8948.78,306121.78,276991.7,6826.1,3533.68,6230.38,323843.78,306121.78,330223.12,391003.67,173308.16,8113.54,285299.19,10332.03,306121.78,267128.91,7407.79,8335.24,247430.78,8789.38,8617.82,5891.28,5306.21,251134.52,154194.28,7207.31,2441.81,285299.19,142414.3,267128.91,8547.57,3813.17,3648.96,366269.22,285299.19,488081.78,8457.09,9637.62,311811.16,233647.44,5539.22,569862.75,7447.25,4949.31,306121.78,267128.91,301646.23,4813.01,9928.49,9321.01,285299.19,6350.66,7661.51,102421.45,224277.25,129248.69,7219.72,318346.15,5951.89,5062.82,403378.5,5840.01,7725.64,336853.38,5024.92,137737.53,224277.25,267128.91,3980.54,6134.7,8491.33,4287.77,608183.16,221318.67,137737.53,7605.94,5088.93,4395.62,536433.7,148726.67,7260.33,2708.27,10811.42,648664.53,147419.83,140425.8,12185.6,4519.96,9881.71,3177.02,147419.83,7721.45,267128.91,182747.02,3262.27,124454.8,5095.11,5821.77,10281.38,587987.89,330223.12,4571.69,193168.27,786075.53,285299.19,336853.38,5730.3,2799.56,10931.17,251134.52,285299.19,6505.81,247430.78,485580.05,3267.99,2930.62,121745.45,17396.48,4598.0,6757.36,10251.88,12012.78,311811.16,8066.72,9710.13,173308.16,302493.53,4036.08,330223.12,5874.77,2109.6,212893.45,570598.38,8082.27,3439.5,306121.78,7814.97,5076.61,5456.35,285299.19,4435.12,8929.72,6991.07,3197.61,114281.78,236947.27,8844.98,336853.38
