ID Media Frequency File.Size Record.Size Num.Threads Test runs distcomp disname
1 SSD 3500000 4 4 1 initial_writers 900 3 normcomp
2 SSD 3500000 4 4 1 rewriters 900 5 lnormcomp
101 SSD 3500000 4 4 8 initial_writers 900 3 normcomp
102 SSD 3500000 4 4 8 rewriters 900 4 lnormcomp
201 SSD 3500000 4 4 16 initial_writers 900 2 lnormcomp
202 SSD 3500000 4 4 16 rewriters 900 5 lnormcomp
301 SSD 3500000 4 4 24 initial_writers 900 2 lnormcomp
302 SSD 3500000 4 4 24 rewriters 900 5 lnormcomp
401 SSD 3500000 4 4 32 initial_writers 900 3 normcomp
402 SSD 3500000 4 4 32 rewriters 900 5 lnormcomp
501 SSD 3500000 4 4 40 initial_writers 900 3 normcomp
502 SSD 3500000 4 4 40 rewriters 900 5 lnormcomp
601 SSD 3500000 4 4 48 initial_writers 900 3 normcomp
602 SSD 3500000 4 4 48 rewriters 900 5 normcomp
701 SSD 3500000 4 4 56 initial_writers 900 4 normcomp
702 SSD 3500000 4 4 56 rewriters 900 3 gammacomp
801 SSD 3500000 4 4 64 initial_writers 900 5 lnormcomp
802 SSD 3500000 4 4 64 rewriters 900 5 normcomp
901 SSD 3500000 16 4 1 initial_writers 900 3 normcomp
902 SSD 3500000 16 4 1 rewriters 900 5 lnormcomp
1001 SSD 3500000 16 4 8 initial_writers 900 1 gammacomp
1002 SSD 3500000 16 4 8 rewriters 900 2 lnormcomp
1101 SSD 3500000 16 4 16 initial_writers 900 2 gammacomp
1102 SSD 3500000 16 4 16 rewriters 900 4 normcomp
1201 SSD 3500000 16 4 24 initial_writers 900 1 weibullcomp
1202 SSD 3500000 16 4 24 rewriters 900 3 lnormcomp
1301 SSD 3500000 16 4 32 initial_writers 900 1 weibullcomp
1302 SSD 3500000 16 4 32 rewriters 900 5 lnormcomp
1401 SSD 3500000 16 4 40 initial_writers 900 1 weibullcomp
1402 SSD 3500000 16 4 40 rewriters 900 3 lnormcomp
1501 SSD 3500000 16 4 48 initial_writers 885 2 normcomp
1502 SSD 3500000 16 4 48 rewriters 885 4 normcomp
1601 SSD 3500000 16 4 56 initial_writers 750 1 weibullcomp
1602 SSD 3500000 16 4 56 rewriters 750 2 gammacomp
1701 SSD 3500000 16 4 64 initial_writers 750 2 gammacomp
