File Size,Record Size,Num Threads,Frequency,Time Estimate
4,4,1,1.2,15.24006386
16,4,1,1.2,15.24025543
64,4,1,1.2,15.24102173
256,4,1,1.2,15.24408691
1024,4,1,1.2,15.25634766
4096,4,1,1.2,15.30539063
8192,4,1,1.2,15.37078125
12288,4,1,1.2,15.43617188
16384,4,1,1.2,15.5015625
16,16,1,1.2,15.24025543
64,16,1,1.2,15.24102173
256,16,1,1.2,15.24408691
1024,16,1,1.2,15.25634766
4096,16,1,1.2,15.30539063
8192,16,1,1.2,15.37078125
12288,16,1,1.2,15.43617188
16384,16,1,1.2,15.5015625
64,64,1,1.2,15.24102173
256,64,1,1.2,15.24408691
1024,64,1,1.2,15.25634766
4096,64,1,1.2,15.30539063
8192,64,1,1.2,15.37078125
12288,64,1,1.2,15.43617188
16384,64,1,1.2,15.5015625
256,256,1,1.2,15.24408691
1024,256,1,1.2,15.25634766
4096,256,1,1.2,15.30539063
8192,256,1,1.2,15.37078125
12288,256,1,1.2,15.43617188
16384,256,1,1.2,15.5015625
1024,1024,1,1.2,15.25634766
4096,1024,1,1.2,15.30539063
8192,1024,1,1.2,15.37078125
12288,1024,1,1.2,15.43617188
16384,1024,1,1.2,15.5015625
4096,4096,1,1.2,15.30539063
8192,4096,1,1.2,15.37078125
12288,4096,1,1.2,15.43617188
16384,4096,1,1.2,15.5015625
8192,8192,1,1.2,15.37078125
16384,8192,1,1.2,15.5015625
12288,12288,1,1.2,15.43617188
16384,16384,1,1.2,15.5015625
4,4,8,1.2,15.24051086
16,4,8,1.2,15.24204346
64,4,8,1.2,15.24817383
256,4,8,1.2,15.27269531
1024,4,8,1.2,15.37078125
4096,4,8,1.2,15.763125
8192,4,8,1.2,16.28625
12288,4,8,1.2,16.809375
16384,4,8,1.2,17.3325
16,16,8,1.2,15.24204346
64,16,8,1.2,15.24817383
256,16,8,1.2,15.27269531
1024,16,8,1.2,15.37078125
4096,16,8,1.2,15.763125
8192,16,8,1.2,16.28625
12288,16,8,1.2,16.809375
16384,16,8,1.2,17.3325
64,64,8,1.2,15.24817383
256,64,8,1.2,15.27269531
1024,64,8,1.2,15.37078125
4096,64,8,1.2,15.763125
8192,64,8,1.2,16.28625
12288,64,8,1.2,16.809375
16384,64,8,1.2,17.3325
256,256,8,1.2,15.27269531
1024,256,8,1.2,15.37078125
4096,256,8,1.2,15.763125
8192,256,8,1.2,16.28625
12288,256,8,1.2,16.809375
16384,256,8,1.2,17.3325
1024,1024,8,1.2,15.37078125
4096,1024,8,1.2,15.763125
8192,1024,8,1.2,16.28625
12288,1024,8,1.2,16.809375
16384,1024,8,1.2,17.3325
4096,4096,8,1.2,15.763125
8192,4096,8,1.2,16.28625
12288,4096,8,1.2,16.809375
16384,4096,8,1.2,17.3325
8192,8192,8,1.2,16.28625
16384,8192,8,1.2,17.3325
12288,12288,8,1.2,16.809375
16384,16384,8,1.2,17.3325
4,4,16,1.2,15.24102173
16,4,16,1.2,15.24408691
64,4,16,1.2,15.25634766
256,4,16,1.2,15.30539063
1024,4,16,1.2,15.5015625
4096,4,16,1.2,16.28625
8192,4,16,1.2,17.3325
12288,4,16,1.2,18.37875
16384,4,16,1.2,19.425
16,16,16,1.2,15.24408691
64,16,16,1.2,15.25634766
256,16,16,1.2,15.30539063
1024,16,16,1.2,15.5015625
4096,16,16,1.2,16.28625
8192,16,16,1.2,17.3325
12288,16,16,1.2,18.37875
16384,16,16,1.2,19.425
64,64,16,1.2,15.25634766
256,64,16,1.2,15.30539063
1024,64,16,1.2,15.5015625
4096,64,16,1.2,16.28625
8192,64,16,1.2,17.3325
12288,64,16,1.2,18.37875
16384,64,16,1.2,19.425
256,256,16,1.2,15.30539063
1024,256,16,1.2,15.5015625
4096,256,16,1.2,16.28625
8192,256,16,1.2,17.3325
12288,256,16,1.2,18.37875
16384,256,16,1.2,19.425
1024,1024,16,1.2,15.5015625
4096,1024,16,1.2,16.28625
8192,1024,16,1.2,17.3325
12288,1024,16,1.2,18.37875
16384,1024,16,1.2,19.425
4096,4096,16,1.2,16.28625
8192,4096,16,1.2,17.3325
12288,4096,16,1.2,18.37875
16384,4096,16,1.2,19.425
8192,8192,16,1.2,17.3325
16384,8192,16,1.2,19.425
12288,12288,16,1.2,18.37875
16384,16384,16,1.2,19.425
4,4,24,1.2,15.24153259
16,4,24,1.2,15.24613037
64,4,24,1.2,15.26452148
256,4,24,1.2,15.33808594
1024,4,24,1.2,15.63234375
4096,4,24,1.2,16.809375
8192,4,24,1.2,18.37875
12288,4,24,1.2,19.948125
16384,4,24,1.2,21.5175
16,16,24,1.2,15.24613037
64,16,24,1.2,15.26452148
256,16,24,1.2,15.33808594
1024,16,24,1.2,15.63234375
4096,16,24,1.2,16.809375
8192,16,24,1.2,18.37875
12288,16,24,1.2,19.948125
16384,16,24,1.2,21.5175
64,64,24,1.2,15.26452148
256,64,24,1.2,15.33808594
1024,64,24,1.2,15.63234375
4096,64,24,1.2,16.809375
8192,64,24,1.2,18.37875
12288,64,24,1.2,19.948125
16384,64,24,1.2,21.5175
256,256,24,1.2,15.33808594
1024,256,24,1.2,15.63234375
4096,256,24,1.2,16.809375
8192,256,24,1.2,18.37875
12288,256,24,1.2,19.948125
16384,256,24,1.2,21.5175
1024,1024,24,1.2,15.63234375
4096,1024,24,1.2,16.809375
8192,1024,24,1.2,18.37875
12288,1024,24,1.2,19.948125
16384,1024,24,1.2,21.5175
4096,4096,24,1.2,16.809375
8192,4096,24,1.2,18.37875
12288,4096,24,1.2,19.948125
16384,4096,24,1.2,21.5175
8192,8192,24,1.2,18.37875
16384,8192,24,1.2,21.5175
12288,12288,24,1.2,19.948125
16384,16384,24,1.2,21.5175
4,4,32,1.2,15.24204346
16,4,32,1.2,15.24817383
64,4,32,1.2,15.27269531
256,4,32,1.2,15.37078125
1024,4,32,1.2,15.763125
4096,4,32,1.2,17.3325
8192,4,32,1.2,19.425
12288,4,32,1.2,21.5175
16384,4,32,1.2,23.61
16,16,32,1.2,15.24817383
64,16,32,1.2,15.27269531
256,16,32,1.2,15.37078125
1024,16,32,1.2,15.763125
4096,16,32,1.2,17.3325
8192,16,32,1.2,19.425
12288,16,32,1.2,21.5175
16384,16,32,1.2,23.61
64,64,32,1.2,15.27269531
256,64,32,1.2,15.37078125
1024,64,32,1.2,15.763125
4096,64,32,1.2,17.3325
8192,64,32,1.2,19.425
12288,64,32,1.2,21.5175
16384,64,32,1.2,23.61
256,256,32,1.2,15.37078125
1024,256,32,1.2,15.763125
4096,256,32,1.2,17.3325
8192,256,32,1.2,19.425
12288,256,32,1.2,21.5175
16384,256,32,1.2,23.61
1024,1024,32,1.2,15.763125
4096,1024,32,1.2,17.3325
8192,1024,32,1.2,19.425
12288,1024,32,1.2,21.5175
16384,1024,32,1.2,23.61
4096,4096,32,1.2,17.3325
8192,4096,32,1.2,19.425
12288,4096,32,1.2,21.5175
16384,4096,32,1.2,23.61
8192,8192,32,1.2,19.425
16384,8192,32,1.2,23.61
12288,12288,32,1.2,21.5175
16384,16384,32,1.2,23.61
4,4,40,1.2,15.24255432
16,4,40,1.2,15.25021729
64,4,40,1.2,15.28086914
256,4,40,1.2,15.40347656
1024,4,40,1.2,15.89390625
4096,4,40,1.2,17.855625
8192,4,40,1.2,20.47125
12288,4,40,1.2,23.086875
16384,4,40,1.2,25.7025
16,16,40,1.2,15.25021729
64,16,40,1.2,15.28086914
256,16,40,1.2,15.40347656
1024,16,40,1.2,15.89390625
4096,16,40,1.2,17.855625
8192,16,40,1.2,20.47125
12288,16,40,1.2,23.086875
16384,16,40,1.2,25.7025
64,64,40,1.2,15.28086914
256,64,40,1.2,15.40347656
1024,64,40,1.2,15.89390625
4096,64,40,1.2,17.855625
8192,64,40,1.2,20.47125
12288,64,40,1.2,23.086875
16384,64,40,1.2,25.7025
256,256,40,1.2,15.40347656
1024,256,40,1.2,15.89390625
4096,256,40,1.2,17.855625
8192,256,40,1.2,20.47125
