"","Frequency","File.Size","Record.Size","Num.Threads","Test","disnumcomp","disname"
"1",3.5,4,4,1,"initial_writers","3","normcomp"
"2",3.5,4,4,1,"rewriters","5","lnormcomp"
"101",3.5,4,4,8,"initial_writers","3","normcomp"
"102",3.5,4,4,8,"rewriters","4","lnormcomp"
"201",3.5,4,4,16,"initial_writers","2","lnormcomp"
"202",3.5,4,4,16,"rewriters","5","lnormcomp"
"301",3.5,4,4,24,"initial_writers","2","lnormcomp"
"302",3.5,4,4,24,"rewriters","5","lnormcomp"
"401",3.5,4,4,32,"initial_writers","3","normcomp"
"402",3.5,4,4,32,"rewriters","5","lnormcomp"
"501",3.5,4,4,40,"initial_writers","3","normcomp"
"502",3.5,4,4,40,"rewriters","5","lnormcomp"
"601",3.5,4,4,48,"initial_writers","3","normcomp"
"602",3.5,4,4,48,"rewriters","5","normcomp"
"701",3.5,4,4,56,"initial_writers","4","normcomp"
"702",3.5,4,4,56,"rewriters","3","gammacomp"
"801",3.5,4,4,64,"initial_writers","5","lnormcomp"
"802",3.5,4,4,64,"rewriters","5","normcomp"
"901",3.5,16,4,1,"initial_writers","3","normcomp"
"902",3.5,16,4,1,"rewriters","5","lnormcomp"
"1001",3.5,16,4,8,"initial_writers","2","weibullcomp"
"1002",3.5,16,4,8,"rewriters","2","lnormcomp"
"1101",3.5,16,4,16,"initial_writers","2","gammacomp"
"1102",3.5,16,4,16,"rewriters","4","normcomp"
"1201",3.5,16,4,24,"initial_writers","2","gammacomp"
"1202",3.5,16,4,24,"rewriters","3","lnormcomp"
"1301",3.5,16,4,32,"initial_writers","2","gammacomp"
"1302",3.5,16,4,32,"rewriters","5","lnormcomp"
"1401",3.5,16,4,40,"initial_writers","2","weibullcomp"
"1402",3.5,16,4,40,"rewriters","3","lnormcomp"
"1501",3.5,16,4,48,"initial_writers","2","normcomp"
"1502",3.5,16,4,48,"rewriters","4","normcomp"
"1601",3.5,16,4,56,"initial_writers","2","weibullcomp"
"1602",3.5,16,4,56,"rewriters","2","gammacomp"
"1701",3.5,16,4,64,"initial_writers","2","gammacomp"
"1702",3.5,16,4,64,"rewriters","2","weibullcomp"
"1801",3.5,16,8,1,"initial_writers","3","normcomp"
"1802",3.5,16,8,1,"rewriters","5","normcomp"
"1901",3.5,16,8,8,"initial_writers","2","lnormcomp"
"1902",3.5,16,8,8,"rewriters","2","lnormcomp"
"2001",3.5,16,8,16,"initial_writers","2","lnormcomp"
"2002",3.5,16,8,16,"rewriters","3","normcomp"
"2101",3.5,16,8,24,"initial_writers","2","lnormcomp"
"2102",3.5,16,8,24,"rewriters","2","lnormcomp"
"2201",3.5,16,8,32,"initial_writers","2","lnormcomp"
"2202",3.5,16,8,32,"rewriters","4","lnormcomp"
"2301",3.5,16,8,40,"initial_writers","2","lnormcomp"
"2302",3.5,16,8,40,"rewriters","2","lnormcomp"
"2401",3.5,16,8,48,"initial_writers","2","lnormcomp"
"2402",3.5,16,8,48,"rewriters","2","lnormcomp"
"2501",3.5,16,8,56,"initial_writers","2","gammacomp"
"2502",3.5,16,8,56,"rewriters","3","normcomp"
"2601",3.5,16,8,64,"initial_writers","2","gammacomp"
"2602",3.5,16,8,64,"rewriters","2","lnormcomp"
"2701",3.5,16,16,1,"initial_writers","3","lnormcomp"
"2702",3.5,16,16,1,"rewriters","5","normcomp"
"2801",3.5,16,16,8,"initial_writers","3","lnormcomp"
"2802",3.5,16,16,8,"rewriters","4","lnormcomp"
"2901",3.5,16,16,16,"initial_writers","2","lnormcomp"
"2902",3.5,16,16,16,"rewriters","3","lnormcomp"
"3001",3.5,16,16,24,"initial_writers","2","lnormcomp"
"3002",3.5,16,16,24,"rewriters","2","lnormcomp"
"3101",3.5,16,16,32,"initial_writers","2","lnormcomp"
"3102",3.5,16,16,32,"rewriters","5","normcomp"
"3201",3.5,16,16,40,"initial_writers","2","lnormcomp"
"3202",3.5,16,16,40,"rewriters","5","lnormcomp"
"3301",3.5,16,16,48,"initial_writers","2","lnormcomp"
"3302",3.5,16,16,48,"rewriters","5","lnormcomp"
"3401",3.5,16,16,56,"initial_writers","2","lnormcomp"
