Machine,Store,Journal,Hyp,Hyp_Sched,VM_Sched,RCU,F_size,R_Size,Threads,Mode,Freq,Throughput
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2395000.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2518496.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,1593868.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2388989.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2330986.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2271112.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2324567.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2212411.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2300817.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2372478.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2168901.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2226726.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2311635.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2280024.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2277393.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2326582.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2162611.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2257019.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2274807.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2425381.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2279365.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2214675.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2438823.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2150415.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2304807.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2480790.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2170094.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2324929.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2171112.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2309964.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2291585.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2347251.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2565970.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2491659.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2189101.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2316982.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2458884.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2398423.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2296015.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2242463.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2377268.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2303977.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2164494.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2198567.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2312471.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2449282.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2322033.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2318664.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2518496.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2229648.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2273843.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2391287.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2200514.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2171112.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2319345.0
