,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
13346,m03,SSD,1200000,32768,1024,16,1,1,initial-writers,4548544.52,20
13347,m03,SSD,1200000,32768,1024,16,1,2,rewriters,5325134.19,20
13348,m03,SSD,1200000,32768,1024,16,1,3,random-readers,14407904.57,20
13349,m03,SSD,1200000,32768,1024,16,1,4,random-writers,5671867.28,20
16396,m03,SSD,1200000,32768,1024,16,2,1,initial-writers,4554099.05,21
16397,m03,SSD,1200000,32768,1024,16,2,2,rewriters,5605352.30,21
16398,m03,SSD,1200000,32768,1024,16,2,3,random-readers,14201033.31,21
16399,m03,SSD,1200000,32768,1024,16,2,4,random-writers,5618683.45,21
15642,m03,SSD,1200000,32768,1024,16,3,1,initial-writers,4487545.86,20
15643,m03,SSD,1200000,32768,1024,16,3,2,rewriters,5403360.45,20
15644,m03,SSD,1200000,32768,1024,16,3,3,random-readers,14813389.88,20
15645,m03,SSD,1200000,32768,1024,16,3,4,random-writers,5621944.33,20
9428,m03,SSD,1200000,32768,1024,16,4,1,initial-writers,4502873.58,20
9429,m03,SSD,1200000,32768,1024,16,4,2,rewriters,5078934.72,20
9430,m03,SSD,1200000,32768,1024,16,4,3,random-readers,13117759.12,20
9431,m03,SSD,1200000,32768,1024,16,4,4,random-writers,5155237.09,20
16468,m03,SSD,1200000,32768,1024,16,5,1,initial-writers,4502241.31,20
16469,m03,SSD,1200000,32768,1024,16,5,2,rewriters,5591005.88,20
16470,m03,SSD,1200000,32768,1024,16,5,3,random-readers,12410050.03,20
16471,m03,SSD,1200000,32768,1024,16,5,4,random-writers,5792016.88,20
10124,m03,SSD,1200000,32768,1024,16,6,1,initial-writers,4524040.36,20
10125,m03,SSD,1200000,32768,1024,16,6,2,rewriters,5541833.20,20
10126,m03,SSD,1200000,32768,1024,16,6,3,random-readers,13605763.12,20
10127,m03,SSD,1200000,32768,1024,16,6,4,random-writers,5161092.05,20
9552,m03,SSD,1200000,32768,1024,16,7,1,initial-writers,4464896.64,21
9553,m03,SSD,1200000,32768,1024,16,7,2,rewriters,5602143.00,21
9554,m03,SSD,1200000,32768,1024,16,7,3,random-readers,16007895.38,21
9555,m03,SSD,1200000,32768,1024,16,7,4,random-writers,5817595.52,21
14830,m03,SSD,1200000,32768,1024,16,8,1,initial-writers,4626370.39,21
14831,m03,SSD,1200000,32768,1024,16,8,2,rewriters,5656725.45,21
14832,m03,SSD,1200000,32768,1024,16,8,3,random-readers,12638463.06,21
14833,m03,SSD,1200000,32768,1024,16,8,4,random-writers,6017996.69,21
13480,m03,SSD,1200000,32768,1024,16,9,1,initial-writers,4516799.67,21
13481,m03,SSD,1200000,32768,1024,16,9,2,rewriters,5244052.97,21
13482,m03,SSD,1200000,32768,1024,16,9,3,random-readers,14550390.99,21
13483,m03,SSD,1200000,32768,1024,16,9,4,random-writers,5521204.14,21
10422,m03,SSD,1200000,32768,1024,16,10,1,initial-writers,4550814.25,21
10423,m03,SSD,1200000,32768,1024,16,10,2,rewriters,5724605.28,21
10424,m03,SSD,1200000,32768,1024,16,10,3,random-readers,13388347.02,21
10425,m03,SSD,1200000,32768,1024,16,10,4,random-writers,5626677.80,21
16690,m03,SSD,1200000,32768,1024,16,11,1,initial-writers,4551350.97,21
16691,m03,SSD,1200000,32768,1024,16,11,2,rewriters,5286665.66,21
16692,m03,SSD,1200000,32768,1024,16,11,3,random-readers,14108922.53,21
16693,m03,SSD,1200000,32768,1024,16,11,4,random-writers,6075350.47,21
9152,m03,SSD,1200000,32768,1024,16,12,1,initial-writers,4558036.77,20
9153,m03,SSD,1200000,32768,1024,16,12,2,rewriters,5271799.03,20
9154,m03,SSD,1200000,32768,1024,16,12,3,random-readers,12715708.06,20
9155,m03,SSD,1200000,32768,1024,16,12,4,random-writers,5447407.62,20
15788,m03,SSD,1200000,32768,1024,16,13,1,initial-writers,4674386.27,21
15789,m03,SSD,1200000,32768,1024,16,13,2,rewriters,5954333.03,21
15790,m03,SSD,1200000,32768,1024,16,13,3,random-readers,12150804.81,21
15791,m03,SSD,1200000,32768,1024,16,13,4,random-writers,5592968.59,21
10012,m03,SSD,1200000,32768,1024,16,14,1,initial-writers,4582568.72,21
10013,m03,SSD,1200000,32768,1024,16,14,2,rewriters,5212468.66,21
10014,m03,SSD,1200000,32768,1024,16,14,3,random-readers,11169781.12,21
10015,m03,SSD,1200000,32768,1024,16,14,4,random-writers,6260112.28,21
13710,m03,SSD,1200000,32768,1024,16,15,1,initial-writers,4572604.70,20
13711,m03,SSD,1200000,32768,1024,16,15,2,rewriters,5361952.52,20
13712,m03,SSD,1200000,32768,1024,16,15,3,random-readers,15229520.12,20
13713,m03,SSD,1200000,32768,1024,16,15,4,random-writers,5835596.89,20
15744,m03,SSD,1200000,32768,1024,16,16,1,initial-writers,4272866.23,21
15745,m03,SSD,1200000,32768,1024,16,16,2,rewriters,5635612.39,21
15746,m03,SSD,1200000,32768,1024,16,16,3,random-readers,12553392.56,21
15747,m03,SSD,1200000,32768,1024,16,16,4,random-writers,5767953.20,21
9362,m03,SSD,1200000,32768,1024,16,17,1,initial-writers,4634585.31,21
9363,m03,SSD,1200000,32768,1024,16,17,2,rewriters,5369223.00,21
9364,m03,SSD,1200000,32768,1024,16,17,3,random-readers,10987113.88,21
9365,m03,SSD,1200000,32768,1024,16,17,4,random-writers,5621329.38,21
15936,m03,SSD,1200000,32768,1024,16,18,1,initial-writers,4492161.09,21
15937,m03,SSD,1200000,32768,1024,16,18,2,rewriters,4968469.31,21
15938,m03,SSD,1200000,32768,1024,16,18,3,random-readers,12196678.50,21
15939,m03,SSD,1200000,32768,1024,16,18,4,random-writers,5811921.53,21
11720,m03,SSD,1200000,32768,1024,16,19,1,initial-writers,4623113.20,21
11721,m03,SSD,1200000,32768,1024,16,19,2,rewriters,5867386.09,21
11722,m03,SSD,1200000,32768,1024,16,19,3,random-readers,15667563.01,21
11723,m03,SSD,1200000,32768,1024,16,19,4,random-writers,5654004.22,21
10810,m03,SSD,1200000,32768,1024,16,20,1,initial-writers,4614828.23,21
10811,m03,SSD,1200000,32768,1024,16,20,2,rewriters,5437575.20,21
10812,m03,SSD,1200000,32768,1024,16,20,3,random-readers,11027946.38,21
10813,m03,SSD,1200000,32768,1024,16,20,4,random-writers,5618842.09,21
13212,m03,SSD,1200000,32768,1024,16,21,1,initial-writers,4551332.75,21
13213,m03,SSD,1200000,32768,1024,16,21,2,rewriters,5724748.16,21
13214,m03,SSD,1200000,32768,1024,16,21,3,random-readers,12360131.16,21
13215,m03,SSD,1200000,32768,1024,16,21,4,random-writers,6175936.28,21
12774,m03,SSD,1200000,32768,1024,16,22,1,initial-writers,4606012.61,21
12775,m03,SSD,1200000,32768,1024,16,22,2,rewriters,5715807.31,21
12776,m03,SSD,1200000,32768,1024,16,22,3,random-readers,13566716.50,21
12777,m03,SSD,1200000,32768,1024,16,22,4,random-writers,5159541.41,21
10108,m03,SSD,1200000,32768,1024,16,23,1,initial-writers,4558115.53,21
10109,m03,SSD,1200000,32768,1024,16,23,2,rewriters,5663694.72,21
10110,m03,SSD,1200000,32768,1024,16,23,3,random-readers,12246318.53,21
10111,m03,SSD,1200000,32768,1024,16,23,4,random-writers,5634275.84,21
16008,m03,SSD,1200000,32768,1024,16,24,1,initial-writers,4595534.34,20
16009,m03,SSD,1200000,32768,1024,16,24,2,rewriters,4870208.34,20
16010,m03,SSD,1200000,32768,1024,16,24,3,random-readers,11794917.75,20
16011,m03,SSD,1200000,32768,1024,16,24,4,random-writers,5936626.56,20
11982,m03,SSD,1200000,32768,1024,16,25,1,initial-writers,4498241.67,21
11983,m03,SSD,1200000,32768,1024,16,25,2,rewriters,5645312.39,21
11984,m03,SSD,1200000,32768,1024,16,25,3,random-readers,14259021.80,21
11985,m03,SSD,1200000,32768,1024,16,25,4,random-writers,5850435.45,21
9762,m03,SSD,1200000,32768,1024,16,26,1,initial-writers,4522012.67,21
9763,m03,SSD,1200000,32768,1024,16,26,2,rewriters,5973359.53,21
9764,m03,SSD,1200000,32768,1024,16,26,3,random-readers,13831252.25,21
9765,m03,SSD,1200000,32768,1024,16,26,4,random-writers,5557894.92,21
13600,m03,SSD,1200000,32768,1024,16,27,1,initial-writers,4612542.67,21
13601,m03,SSD,1200000,32768,1024,16,27,2,rewriters,5494327.05,21
13602,m03,SSD,1200000,32768,1024,16,27,3,random-readers,14236351.59,21
13603,m03,SSD,1200000,32768,1024,16,27,4,random-writers,5797437.91,21
12332,m03,SSD,1200000,32768,1024,16,28,1,initial-writers,4555928.08,21
12333,m03,SSD,1200000,32768,1024,16,28,2,rewriters,5569444.69,21
12334,m03,SSD,1200000,32768,1024,16,28,3,random-readers,11422737.75,21
12335,m03,SSD,1200000,32768,1024,16,28,4,random-writers,6039658.33,21
13644,m03,SSD,1200000,32768,1024,16,29,1,initial-writers,4548015.80,20
13645,m03,SSD,1200000,32768,1024,16,29,2,rewriters,5034874.78,20
13646,m03,SSD,1200000,32768,1024,16,29,3,random-readers,10692965.81,20
13647,m03,SSD,1200000,32768,1024,16,29,4,random-writers,5625446.47,20
14034,m03,SSD,1200000,32768,1024,16,30,1,initial-writers,4553226.50,20
14035,m03,SSD,1200000,32768,1024,16,30,2,rewriters,5292016.23,20
14036,m03,SSD,1200000,32768,1024,16,30,3,random-readers,13112719.63,20
14037,m03,SSD,1200000,32768,1024,16,30,4,random-writers,5800366.88,20
10236,m03,SSD,1200000,32768,1024,16,31,1,initial-writers,4521460.28,20
10237,m03,SSD,1200000,32768,1024,16,31,2,rewriters,5440352.69,20
10238,m03,SSD,1200000,32768,1024,16,31,3,random-readers,11786826.00,20
10239,m03,SSD,1200000,32768,1024,16,31,4,random-writers,5653383.03,20
17028,m03,SSD,1200000,32768,1024,16,32,1,initial-writers,4554006.11,20
17029,m03,SSD,1200000,32768,1024,16,32,2,rewriters,5028350.91,20
17030,m03,SSD,1200000,32768,1024,16,32,3,random-readers,11357510.56,20
17031,m03,SSD,1200000,32768,1024,16,32,4,random-writers,5743933.81,20
