,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
4646,m04,SSD,1200000,32768,1024,16,1,1,initial-writers,7163334.52,20,69245092,793532244,8208965,3781328,12170879,5880213,547583504,21415,3754,4865318076,711482,762775636,91754,170887,2655432573,25499
4647,m04,SSD,1200000,32768,1024,16,1,2,rewriters,7142533.14,20,69245092,793532244,8208965,3781328,12170879,5880213,547583504,21415,3754,4865318076,711482,762775636,91754,170887,2655432573,25499
4648,m04,SSD,1200000,32768,1024,16,1,3,random-readers,13410840.55,20,69245092,793532244,8208965,3781328,12170879,5880213,547583504,21415,3754,4865318076,711482,762775636,91754,170887,2655432573,25499
4649,m04,SSD,1200000,32768,1024,16,1,4,random-writers,9031723.38,20,69245092,793532244,8208965,3781328,12170879,5880213,547583504,21415,3754,4865318076,711482,762775636,91754,170887,2655432573,25499
7696,m04,SSD,1200000,32768,1024,16,2,1,initial-writers,7700516.88,20,77280847,839840554,8513148,4625309,14363780,5806744,538146101,21583,2769,5954500757,658712,798092018,82517,187630,2507253365,25599
7697,m04,SSD,1200000,32768,1024,16,2,2,rewriters,8347430.00,20,77280847,839840554,8513148,4625309,14363780,5806744,538146101,21583,2769,5954500757,658712,798092018,82517,187630,2507253365,25599
7698,m04,SSD,1200000,32768,1024,16,2,3,random-readers,13905577.19,20,77280847,839840554,8513148,4625309,14363780,5806744,538146101,21583,2769,5954500757,658712,798092018,82517,187630,2507253365,25599
7699,m04,SSD,1200000,32768,1024,16,2,4,random-writers,7328757.16,20,77280847,839840554,8513148,4625309,14363780,5806744,538146101,21583,2769,5954500757,658712,798092018,82517,187630,2507253365,25599
6942,m04,SSD,1200000,32768,1024,16,3,1,initial-writers,7575999.38,20,84161012,843366465,8436571,5043427,17321943,5646573,581464189,20964,2291,6181533012,628119,756047890,62432,183206,2806666613,25557
6943,m04,SSD,1200000,32768,1024,16,3,2,rewriters,8128332.84,20,84161012,843366465,8436571,5043427,17321943,5646573,581464189,20964,2291,6181533012,628119,756047890,62432,183206,2806666613,25557
6944,m04,SSD,1200000,32768,1024,16,3,3,random-readers,11156423.31,20,84161012,843366465,8436571,5043427,17321943,5646573,581464189,20964,2291,6181533012,628119,756047890,62432,183206,2806666613,25557
6945,m04,SSD,1200000,32768,1024,16,3,4,random-writers,8147605.69,20,84161012,843366465,8436571,5043427,17321943,5646573,581464189,20964,2291,6181533012,628119,756047890,62432,183206,2806666613,25557
728,m04,SSD,1200000,32768,1024,16,4,1,initial-writers,7486507.22,21,81854323,842164503,9500318,4147650,13871544,5487893,568037575,20928,2307,5752550251,933718,803427007,82406,242371,2765634521,25411
729,m04,SSD,1200000,32768,1024,16,4,2,rewriters,8691220.50,21,81854323,842164503,9500318,4147650,13871544,5487893,568037575,20928,2307,5752550251,933718,803427007,82406,242371,2765634521,25411
730,m04,SSD,1200000,32768,1024,16,4,3,random-readers,13220031.34,21,81854323,842164503,9500318,4147650,13871544,5487893,568037575,20928,2307,5752550251,933718,803427007,82406,242371,2765634521,25411
731,m04,SSD,1200000,32768,1024,16,4,4,random-writers,8324773.34,21,81854323,842164503,9500318,4147650,13871544,5487893,568037575,20928,2307,5752550251,933718,803427007,82406,242371,2765634521,25411
7768,m04,SSD,1200000,32768,1024,16,5,1,initial-writers,7393767.45,20,71878967,845709328,9002266,4436328,13978785,5777728,547470071,21689,3640,5845304170,778973,759444376,85816,232198,2528544136,25554
7769,m04,SSD,1200000,32768,1024,16,5,2,rewriters,7734471.48,20,71878967,845709328,9002266,4436328,13978785,5777728,547470071,21689,3640,5845304170,778973,759444376,85816,232198,2528544136,25554
7770,m04,SSD,1200000,32768,1024,16,5,3,random-readers,11006094.38,20,71878967,845709328,9002266,4436328,13978785,5777728,547470071,21689,3640,5845304170,778973,759444376,85816,232198,2528544136,25554
7771,m04,SSD,1200000,32768,1024,16,5,4,random-writers,6931086.69,20,71878967,845709328,9002266,4436328,13978785,5777728,547470071,21689,3640,5845304170,778973,759444376,85816,232198,2528544136,25554
1424,m04,SSD,1200000,32768,1024,16,6,1,initial-writers,7402567.56,20,70252054,852567932,7377566,4435438,13742997,6319683,589326043,20778,2523,5184447428,647122,716377404,66741,201535,2810166560,24982
1425,m04,SSD,1200000,32768,1024,16,6,2,rewriters,8406804.58,20,70252054,852567932,7377566,4435438,13742997,6319683,589326043,20778,2523,5184447428,647122,716377404,66741,201535,2810166560,24982
1426,m04,SSD,1200000,32768,1024,16,6,3,random-readers,12486849.97,20,70252054,852567932,7377566,4435438,13742997,6319683,589326043,20778,2523,5184447428,647122,716377404,66741,201535,2810166560,24982
1427,m04,SSD,1200000,32768,1024,16,6,4,random-writers,8596065.16,20,70252054,852567932,7377566,4435438,13742997,6319683,589326043,20778,2523,5184447428,647122,716377404,66741,201535,2810166560,24982
852,m04,SSD,1200000,32768,1024,16,7,1,initial-writers,7860708.91,20,71249636,838212646,7760538,3984377,12972181,6050267,542318930,20875,2140,5397607429,581773,771302774,77123,125680,2524507158,24865
853,m04,SSD,1200000,32768,1024,16,7,2,rewriters,8516025.22,20,71249636,838212646,7760538,3984377,12972181,6050267,542318930,20875,2140,5397607429,581773,771302774,77123,125680,2524507158,24865
854,m04,SSD,1200000,32768,1024,16,7,3,random-readers,11397415.19,20,71249636,838212646,7760538,3984377,12972181,6050267,542318930,20875,2140,5397607429,581773,771302774,77123,125680,2524507158,24865
855,m04,SSD,1200000,32768,1024,16,7,4,random-writers,7821506.45,20,71249636,838212646,7760538,3984377,12972181,6050267,542318930,20875,2140,5397607429,581773,771302774,77123,125680,2524507158,24865
6130,m04,SSD,1200000,32768,1024,16,8,1,initial-writers,7941329.69,20,80990621,821107739,9527171,4542743,15111969,5287375,523451247,20879,2139,6014931608,886130,836843517,95799,273571,2575397672,25646
6131,m04,SSD,1200000,32768,1024,16,8,2,rewriters,8056461.33,20,80990621,821107739,9527171,4542743,15111969,5287375,523451247,20879,2139,6014931608,886130,836843517,95799,273571,2575397672,25646
6132,m04,SSD,1200000,32768,1024,16,8,3,random-readers,14032970.25,20,80990621,821107739,9527171,4542743,15111969,5287375,523451247,20879,2139,6014931608,886130,836843517,95799,273571,2575397672,25646
6133,m04,SSD,1200000,32768,1024,16,8,4,random-writers,7400428.78,20,80990621,821107739,9527171,4542743,15111969,5287375,523451247,20879,2139,6014931608,886130,836843517,95799,273571,2575397672,25646
4780,m04,SSD,1200000,32768,1024,16,9,1,initial-writers,7840500.00,20,72058029,851840021,7387313,5537763,14524035,6039805,567312925,20801,2134,5789865801,353045,744486072,107790,145945,2599901232,25516
4781,m04,SSD,1200000,32768,1024,16,9,2,rewriters,7255218.66,20,72058029,851840021,7387313,5537763,14524035,6039805,567312925,20801,2134,5789865801,353045,744486072,107790,145945,2599901232,25516
