,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
4646,m04,SSD,1200000,32768,1024,16,1,1,initial-writers,4109817.70,21,100343700,842370722,10375624,5602915,18368133,5652017,581396800,21141,2621,8195464526,918082,972240678,86462,257380,2997616444,25377
4647,m04,SSD,1200000,32768,1024,16,1,2,rewriters,5843440.30,21,100343700,842370722,10375624,5602915,18368133,5652017,581396800,21141,2621,8195464526,918082,972240678,86462,257380,2997616444,25377
4648,m04,SSD,1200000,32768,1024,16,1,3,random-readers,12561786.00,21,100343700,842370722,10375624,5602915,18368133,5652017,581396800,21141,2621,8195464526,918082,972240678,86462,257380,2997616444,25377
4649,m04,SSD,1200000,32768,1024,16,1,4,random-writers,5854059.31,21,100343700,842370722,10375624,5602915,18368133,5652017,581396800,21141,2621,8195464526,918082,972240678,86462,257380,2997616444,25377
7696,m04,SSD,1200000,32768,1024,16,2,1,initial-writers,4076847.62,21,96208537,936279757,8161460,8648613,22508203,6730455,683551876,22814,4562,7970586792,408077,835061235,83740,73404,3343509584,25073
7697,m04,SSD,1200000,32768,1024,16,2,2,rewriters,5802725.34,21,96208537,936279757,8161460,8648613,22508203,6730455,683551876,22814,4562,7970586792,408077,835061235,83740,73404,3343509584,25073
7698,m04,SSD,1200000,32768,1024,16,2,3,random-readers,13618157.68,21,96208537,936279757,8161460,8648613,22508203,6730455,683551876,22814,4562,7970586792,408077,835061235,83740,73404,3343509584,25073
7699,m04,SSD,1200000,32768,1024,16,2,4,random-writers,5859481.89,21,96208537,936279757,8161460,8648613,22508203,6730455,683551876,22814,4562,7970586792,408077,835061235,83740,73404,3343509584,25073
6942,m04,SSD,1200000,32768,1024,16,3,1,initial-writers,3946459.78,21,93199187,937429584,9487453,5231341,17263278,6076383,631966711,21798,2446,8397397936,693254,863488357,97973,214159,3032396997,25347
6943,m04,SSD,1200000,32768,1024,16,3,2,rewriters,5503101.91,21,93199187,937429584,9487453,5231341,17263278,6076383,631966711,21798,2446,8397397936,693254,863488357,97973,214159,3032396997,25347
6944,m04,SSD,1200000,32768,1024,16,3,3,random-readers,12695003.55,21,93199187,937429584,9487453,5231341,17263278,6076383,631966711,21798,2446,8397397936,693254,863488357,97973,214159,3032396997,25347
6945,m04,SSD,1200000,32768,1024,16,3,4,random-writers,5929984.69,21,93199187,937429584,9487453,5231341,17263278,6076383,631966711,21798,2446,8397397936,693254,863488357,97973,214159,3032396997,25347
728,m04,SSD,1200000,32768,1024,16,4,1,initial-writers,4107478.61,21,99633061,822503400,8558217,7863534,22045071,5751897,634026131,16058,1694,8151645588,327312,953339422,80723,80640,3282280966,25508
729,m04,SSD,1200000,32768,1024,16,4,2,rewriters,5615495.03,21,99633061,822503400,8558217,7863534,22045071,5751897,634026131,16058,1694,8151645588,327312,953339422,80723,80640,3282280966,25508
730,m04,SSD,1200000,32768,1024,16,4,3,random-readers,11945525.59,21,99633061,822503400,8558217,7863534,22045071,5751897,634026131,16058,1694,8151645588,327312,953339422,80723,80640,3282280966,25508
