,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
4646,m03,SSD,1200000,32768,1024,16,1,1,initial-writers,4916044.50,21,89109511,946646559,9065507,4819125,18541910,6250508,640798189,11948,2029,14035548192,612457,819695185,133575,194403,3002637334,25247
4647,m03,SSD,1200000,32768,1024,16,1,2,rewriters,6704166.47,21,89109511,946646559,9065507,4819125,18541910,6250508,640798189,11948,2029,14035548192,612457,819695185,133575,194403,3002637334,25247
4648,m03,SSD,1200000,32768,1024,16,1,3,random-readers,13557379.22,21,89109511,946646559,9065507,4819125,18541910,6250508,640798189,11948,2029,14035548192,612457,819695185,133575,194403,3002637334,25247
4649,m03,SSD,1200000,32768,1024,16,1,4,random-writers,6393723.12,21,89109511,946646559,9065507,4819125,18541910,6250508,640798189,11948,2029,14035548192,612457,819695185,133575,194403,3002637334,25247
7696,m03,SSD,1200000,32768,1024,16,2,1,initial-writers,4901198.12,21,96867165,949012166,10144300,5194339,19794872,5869282,584590695,11601,1446,15312529991,768730,842539443,86971,215513,2713802285,25574
7697,m03,SSD,1200000,32768,1024,16,2,2,rewriters,6752557.09,21,96867165,949012166,10144300,5194339,19794872,5869282,584590695,11601,1446,15312529991,768730,842539443,86971,215513,2713802285,25574
7698,m03,SSD,1200000,32768,1024,16,2,3,random-readers,12545651.62,21,96867165,949012166,10144300,5194339,19794872,5869282,584590695,11601,1446,15312529991,768730,842539443,86971,215513,2713802285,25574
7699,m03,SSD,1200000,32768,1024,16,2,4,random-writers,6685657.91,21,96867165,949012166,10144300,5194339,19794872,5869282,584590695,11601,1446,15312529991,768730,842539443,86971,215513,2713802285,25574
6942,m03,SSD,1200000,32768,1024,16,3,1,initial-writers,4875957.41,21,92438480,992158493,9951631,5408571,19528032,6069986,621199465,11767,1346,15005101431,676760,796575622,138630,234270,2881107837,25413
6943,m03,SSD,1200000,32768,1024,16,3,2,rewriters,6793800.69,21,92438480,992158493,9951631,5408571,19528032,6069986,621199465,11767,1346,15005101431,676760,796575622,138630,234270,2881107837,25413
6944,m03,SSD,1200000,32768,1024,16,3,3,random-readers,13673641.19,21,92438480,992158493,9951631,5408571,19528032,6069986,621199465,11767,1346,15005101431,676760,796575622,138630,234270,2881107837,25413
6945,m03,SSD,1200000,32768,1024,16,3,4,random-writers,6072214.19,21,92438480,992158493,9951631,5408571,19528032,6069986,621199465,11767,1346,15005101431,676760,796575622,138630,234270,2881107837,25413
728,m03,SSD,1200000,32768,1024,16,4,1,initial-writers,4888898.50,21,88267354,986610177,9160484,4974790,18509220,6236044,629293601,11739,1930,14221173941,654608,744391569,92203,206953,2885515998,25629
729,m03,SSD,1200000,32768,1024,16,4,2,rewriters,6149747.22,21,88267354,986610177,9160484,4974790,18509220,6236044,629293601,11739,1930,14221173941,654608,744391569,92203,206953,2885515998,25629
