,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
4646,m03,SSD,1200000,32768,1024,16,1,1,initial-writers,2728568.00,21
4647,m03,SSD,1200000,32768,1024,16,1,2,rewriters,4890902.83,21
4648,m03,SSD,1200000,32768,1024,16,1,3,random-readers,9918726.66,21
4649,m03,SSD,1200000,32768,1024,16,1,4,random-writers,5585544.02,21
7696,m03,SSD,1200000,32768,1024,16,2,1,initial-writers,2754638.69,21
7697,m03,SSD,1200000,32768,1024,16,2,2,rewriters,5228281.41,21
7698,m03,SSD,1200000,32768,1024,16,2,3,random-readers,11507936.47,21
7699,m03,SSD,1200000,32768,1024,16,2,4,random-writers,5442853.69,21
6942,m03,SSD,1200000,32768,1024,16,3,1,initial-writers,2744289.74,21
6943,m03,SSD,1200000,32768,1024,16,3,2,rewriters,5496795.84,21
6944,m03,SSD,1200000,32768,1024,16,3,3,random-readers,12556793.73,21
6945,m03,SSD,1200000,32768,1024,16,3,4,random-writers,5722027.28,21
728,m03,SSD,1200000,32768,1024,16,4,1,initial-writers,2766771.12,21
729,m03,SSD,1200000,32768,1024,16,4,2,rewriters,5172234.73,21
730,m03,SSD,1200000,32768,1024,16,4,3,random-readers,12641423.27,21
731,m03,SSD,1200000,32768,1024,16,4,4,random-writers,5527512.52,21
7768,m03,SSD,1200000,32768,1024,16,5,1,initial-writers,2748513.94,22
7769,m03,SSD,1200000,32768,1024,16,5,2,rewriters,5081081.16,22
7770,m03,SSD,1200000,32768,1024,16,5,3,random-readers,11571712.92,22
7771,m03,SSD,1200000,32768,1024,16,5,4,random-writers,5707776.36,22
1424,m03,SSD,1200000,32768,1024,16,6,1,initial-writers,2356313.98,21
1425,m03,SSD,1200000,32768,1024,16,6,2,rewriters,5261804.33,21
1426,m03,SSD,1200000,32768,1024,16,6,3,random-readers,10181776.03,21
1427,m03,SSD,1200000,32768,1024,16,6,4,random-writers,5629014.09,21
852,m03,SSD,1200000,32768,1024,16,7,1,initial-writers,2695711.52,21
853,m03,SSD,1200000,32768,1024,16,7,2,rewriters,5462498.81,21
854,m03,SSD,1200000,32768,1024,16,7,3,random-readers,11161030.50,21
855,m03,SSD,1200000,32768,1024,16,7,4,random-writers,5614212.64,21
6130,m03,SSD,1200000,32768,1024,16,8,1,initial-writers,2767894.23,21
6131,m03,SSD,1200000,32768,1024,16,8,2,rewriters,5473427.91,21
6132,m03,SSD,1200000,32768,1024,16,8,3,random-readers,10693412.33,21
6133,m03,SSD,1200000,32768,1024,16,8,4,random-writers,5536456.94,21
