Policy,Max Steps,Adaptive,Min Changes,Max Changes,Avg Changes,L2
Fixed Step,1000,0.01,1,1,1.0,0.01004922659655459
Fixed Step,1000,0.01,1,1,1.0,0.019557342737239528
Fixed Step,1000,0.01,1,14,2.857142857142857,2035.5790125257356
Fixed Step,1000,0.01,1,1,1.0,0.48664973515534615
Fixed Step,1000,0.01,1,1,1.0,0.02243571901100695
Fixed Step,1000,0.01,1,2,1.1666666666666667,0.6771396670825303
Fixed Step,1000,0.01,1,1,1.0,0.04622989377734672
Fixed Step,1000,0.01,1,1,1.0,1.9690705645995166
Fixed Step,1000,0.01,1,1,1.0,14.159377025311542
Fixed Step,1000,0.01,1,2,1.1,0.20601066621447572
Fixed Step,1000,0.01,1,1,1.0,0.00887354641637975
Fixed Step,1000,0.01,1,1,1.0,0.015090367185765735
Fixed Step,1000,0.01,1,32,7.2,0.049186552692214905
Fixed Step,1000,0.01,1,1,1.0,20.089173975610105
Fixed Step,1000,0.01,1,7,1.8571428571428572,0.5770182357720829
Fixed Step,1000,0.01,1,1,1.0,0.00402198926914936
Fixed Step,1000,0.01,1,1,1.0,0.02251048052123366
Fixed Step,1000,0.01,1,1,1.0,0.018142660581827143
Fixed Step,1000,0.01,1,1,1.0,0.5903015889967606
Fixed Step,1000,0.01,1,1,1.0,0.40062909810969377
Fixed Step,1000,0.01,1,1,1.0,0.0002710339306627288
Fixed Step,1000,0.01,1,1,1.0,1410.0567063579415
Fixed Step,1000,0.01,1,5,2.142857142857143,0.03860290459728663
Fixed Step,1000,0.01,1,36,6.0,0.06302379359393187
Fixed Step,1000,0.01,1,57,12.444444444444445,0.09873091815501114
Fixed Step,1000,0.01,1,1,1.0,0.0007767223688943349
Fixed Step,1000,0.01,1,1,1.0,0.004842089236573196
Fixed Step,1000,0.01,1,1,1.0,0.013231941471614233
Fixed Step,1000,0.01,1,1,1.0,0.07056436544870064
Fixed Step,1000,0.01,1,1,1.0,0.0007410151811553209
